	mismatch_immune_risk	mismatch_expert_risk	substitution_penalty	mismatch_mask	substitution_mask	SCD_mismatch_immune_risk	SCD_mismatch_expert_risk	SCD_substitution_penalty	SCD_mismatch_mask	MDS_mismatch_immune_risk	MDS_mismatch_expert_risk	MDS_substitution_penalty	MDS_mismatch_mask	Thal_mismatch_immune_risk	Thal_mismatch_expert_risk	Thal_substitution_penalty	Thal_mismatch_mask	AIHA_mismatch_immune_risk	AIHA_mismatch_expert_risk	AIHA_substitution_penalty	AIHA_mismatch_mask	Other_mismatch_immune_risk	Other_mismatch_expert_risk	Other_substitution_penalty	Other_mismatch_mask
A	1	100	0	FALSE	FALSE	1	100	0	FALSE	1	100	0	FALSE	1	100	0	FALSE	1	100	0	FALSE	1	100	0	FALSE
B	1	100	0	FALSE	FALSE	1	100	0	FALSE	1	100	0	FALSE	1	100	0	FALSE	1	100	0	FALSE	1	100	0	FALSE
D	1	100	0	FALSE	FALSE	1	100	0	FALSE	1	100	0	FALSE	1	100	0	FALSE	1	100	0	FALSE	1	100	0	FALSE
C	0.00074	100	0.00074	FALSE	TRUE	0.00074	100	0.00074	FALSE	0.00074	100	0.00074	FALSE	0.00074	100	0.00074	FALSE	0.00074	100	0.00074	FALSE	0	0	0.00074	TRUE
c	0.001235	100	0.001235	FALSE	TRUE	0.001235	100	0.001235	FALSE	0.001235	100	0.001235	FALSE	0.001235	100	0.001235	FALSE	0.001235	100	0.001235	FALSE	0	0	0.001235	TRUE
E	0.0043	100	0.0043	FALSE	TRUE	0.0043	100	0.0043	FALSE	0.0043	100	0.0043	FALSE	0.0043	100	0.0043	FALSE	0.0043	100	0.0043	FALSE	0	0	0.0043	TRUE
e	0.00255	100	0.00255	FALSE	TRUE	0.00255	100	0.00255	FALSE	0.00255	100	0.00255	FALSE	0.00255	100	0.00255	FALSE	0.00255	100	0.00255	FALSE	0	0	0.00255	TRUE
K	0.00826	100	0.00826	FALSE	TRUE	0.00826	100	0.00826	FALSE	0.00826	100	0.00826	FALSE	0.00826	100	0.00826	FALSE	0.00826	100	0.00826	FALSE	0	0	0.00826	TRUE
k	0	0	0	TRUE	TRUE	0	0	0	TRUE	0	0	0	TRUE	0	0	0	TRUE	0	0	0	TRUE	0	0	0	TRUE
Fya	0.00046	80	0.00046	TRUE	TRUE	0.00046	80	0.00046	TRUE	0.00046	80	0.00046	TRUE	0.00046	80	0.00046	TRUE	0.00046	80	0.00046	TRUE	0	0	0.00046	TRUE
Fyb	0.000326667	80	0.000326667	TRUE	TRUE	0.000326667	80	0.000326667	TRUE	0.000326667	80	0.000326667	TRUE	0.000326667	80	0.000326667	TRUE	0.000326667	80	0.000326667	TRUE	0	0	0.000326667	TRUE
Jka	0.00147	80	0.00147	TRUE	TRUE	0.00147	80	0.00147	TRUE	0.00147	80	0.00147	TRUE	0.00147	80	0.00147	TRUE	0.00147	80	0.00147	TRUE	0	0	0.00147	TRUE
Jkb	0.00015	80	0.00015	TRUE	TRUE	0.00015	80	0.00015	TRUE	0.00015	80	0.00015	TRUE	0.00015	80	0.00015	TRUE	0.00015	80	0.00015	TRUE	0	0	0.00015	TRUE
M	0.00061	20	0.00061	TRUE	TRUE	0.00061	20	0.00061	TRUE	0.00061	20	0.00061	TRUE	0.00061	20	0.00061	TRUE	0.00061	20	0.00061	TRUE	0	0	0.00061	TRUE
N	0.00005	100	0.00005	TRUE	TRUE	0.00005	100	0.00005	TRUE	0.00005	100	0.00005	TRUE	0.00005	100	0.00005	TRUE	0.00005	100	0.00005	TRUE	0	0	0.00005	TRUE
S	0.000125	80	0.000125	TRUE	TRUE	0.000125	80	0.000125	TRUE	0.000125	80	0.000125	TRUE	0.000125	80	0.000125	TRUE	0.000125	80	0.000125	TRUE	0	0	0.000125	TRUE
s	0	20	0	TRUE	TRUE	0	20	0	TRUE	0	20	0	TRUE	0	20	0	TRUE	0	20	0	TRUE	0	0	0	TRUE
